project,url,main_language,languages,age,stars,forks,commits,newcomers,pulls_opened,pulls_closed,pulls_merged,loc_r,loc_total
RLogicalOps,https://github.com/cran/RLogicalOps,R,['R'],1,0,0,1,1,0,0,0,65,181
Redmonder,https://github.com/pmdci/Redmonder,R,['R'],1,1,1,27,2,0,0,0,1043,1266
likelihood,https://github.com/LMurphy186232/likelihood,HTML,"['TeX', 'R', 'HTML', 'CSS']",0,0,0,2,1,0,0,0,1230,2752
radarchart,https://github.com/MangoTheCat/radarchart,R,"['R', 'JavaScript', 'HTML']",2,44,17,212,6,1,2,9,327,28408
crimelinkage,https://github.com/cran/crimelinkage,HTML,"['R', 'HTML']",2,0,1,2,1,0,0,0,1101,1883
propr,https://github.com/tpq/propr,HTML,"['C', 'R', 'Rebol', 'HTML', 'C++']",1,11,3,495,2,0,1,0,3272,6460
TCC,https://github.com/jqsunac/TCC,R,['R'],0,0,0,96,7,0,0,0,2231,2328
net.security,https://github.com/r-net-tools/net.security,R,['R'],2,6,5,278,7,0,0,0,1180,2055
clubSandwich,https://github.com/jepusto/clubSandwich,HTML,"['TeX', 'R', 'Shell', 'HTML', 'CSS']",2,13,3,447,4,0,0,8,6010,12124
forestinventory,https://github.com/AndreasChristianHill/forestinventory,R,['R'],1,0,0,53,2,0,0,0,3598,3829
tsensembler,https://github.com/vcerqueira/tsensembler,R,['R'],0,3,1,18,3,0,0,0,1414,1730
pdR,https://github.com/tsungwu/pdR,R,['R'],0,1,0,11,2,0,0,0,2051,2172
glcm,https://github.com/azvoleff/glcm,R,"['R', 'C++']",3,6,5,191,1,1,0,0,302,1532
virtualspecies,https://github.com/Farewe/virtualspecies,R,['R'],3,5,3,41,3,0,0,1,2263,3061
PGRdup,https://github.com/aravind-j/PGRdup,R,"['C', 'R']",0,0,1,26,1,0,0,0,1902,9802
adaptMCMC,https://github.com/scheidan/adaptMCMC,R,['R'],4,2,2,13,2,0,1,0,227,896
ircor,https://github.com/julian-urbano/ircor,R,['R'],0,2,0,19,2,0,0,0,243,459
reghelper,https://github.com/jeff-hughes/reghelper,R,['R'],2,2,0,118,1,0,0,0,2798,3059
wallace,https://github.com/wallaceEcoMod/wallace,R,"['R', 'JavaScript', 'CSS']",2,16,4,2012,13,0,3,1,3307,5527
gfmR,https://github.com/bprice2652/gfmR,R,['R'],0,0,0,25,2,0,0,0,323,420
PSF,https://github.com/neerajdhanraj/PSF,R,['R'],1,7,1,122,2,0,1,0,151,1008
pcamethods,https://github.com/hredestig/pcaMethods,R,"['R', 'C++']",1,9,1,143,12,0,0,0,2277,3076
games,https://github.com/brentonk/games,R,"['TeX', 'R']",7,2,0,178,1,0,0,0,2656,2936
rsatscan,https://github.com/Kenkleinman/rsatscan,R,['R'],2,3,1,6,2,0,0,0,188,499
OPI,https://github.com/turpinandrew/OPI,R,"['R', 'Makefile']",4,5,1,123,5,1,0,0,2431,3077
unpivotr,https://github.com/nacnudus/unpivotr,R,['R'],1,22,4,275,2,1,0,0,1492,9886
cosinor2,https://github.com/amutak/cosinor2,,[],0,1,0,8,1,0,0,0,0,124
TropFishR,https://github.com/tokami/TropFishR,R,"['TeX', 'R']",2,5,4,652,4,0,0,3,5314,7578
focusedMDS,https://github.com/anders-biostat/focusedMDS,JavaScript,"['R', 'JavaScript']",1,2,0,203,4,0,0,0,119,17593
medicalrisk,https://github.com/patrickmdnet/medicalrisk,R,['R'],1,3,0,11,2,0,0,0,502,735
raptr,https://github.com/jeffreyhanson/raptr,HTML,"['C', 'R', 'Makefile', 'HTML', 'C++']",2,1,0,349,4,0,0,0,4820,20377
rpf,https://github.com/jpritikin/rpf,R,"['C', 'Shell', 'Emacs Lisp', 'C++', 'GDB', 'R']",2,0,0,403,3,0,0,0,3088,7726
CompTox-ExpoCast-httk,https://github.com/USEPA/CompTox-ExpoCast-httk,,[],0,0,0,1,1,0,0,0,0,115
venn,https://github.com/dusadrian/venn,,[],1,0,0,0,0,0,0,0,0,95
enviMass,https://github.com/blosloos/enviMass,R,"['R', 'C++']",3,0,2,467,3,0,0,3,44977,48669
clust,https://github.com/BaselAbujamous/clust,Python,['Python'],0,22,2,128,3,0,0,3,0,4753
prettymapr,https://github.com/paleolimbot/prettymapr,R,['R'],2,12,1,53,2,0,0,1,930,1779
spaero,https://github.com/e3bo/spaero,R,"['C', 'R']",0,0,1,142,1,1,0,0,719,1409
missForest,https://github.com/stekhoven/missForest,R,['R'],5,16,4,37,4,0,0,0,384,1220
fuser,https://github.com/FrankD/fuser,R,"['R', 'C++']",1,4,1,22,3,0,0,0,328,966
Pstat,https://github.com/cran/Pstat,R,['R'],0,0,0,3,1,0,0,0,488,604
ecolottery,https://github.com/frmunoz/ecolottery,R,['R'],0,4,0,446,12,0,0,0,1320,1534
taber,https://github.com/restonslacker/taber,R,['R'],2,5,0,15,1,0,0,0,58,272
mvtboost,https://github.com/patr1ckm/mvtboost,R,['R'],2,13,12,344,3,0,0,5,2383,5554
metacom,https://github.com/taddallas/metacom,R,['R'],4,4,6,102,5,0,1,5,424,2905
homeR,https://github.com/neurobat/homeR,R,['R'],6,2,1,36,1,0,1,1,194,1080
ApacheLogProcessor,https://github.com/diogosmendonca/ApacheLogProcessor,R,['R'],2,5,1,9,4,0,0,0,317,633
tweet2r,https://github.com/pauarago/tweet2r,R,['R'],2,1,0,22,2,0,0,0,372,502
mdatools,https://github.com/svkucheryavski/mdatools,R,['R'],4,5,2,161,1,0,1,0,5346,14822
VineCopula,https://github.com/tnagler/VineCopula,R,"['C', 'R', 'C++']",2,12,14,457,13,0,2,19,12541,49121
squash,https://github.com/aroneklund/squash,R,['R'],2,0,0,6,1,0,0,0,588,700
bmlm,https://github.com/mvuorre/bmlm,R,"['Stan', 'R', 'Shell', 'C++']",1,9,1,161,3,0,0,0,582,4123
CORElearn,https://github.com/rmarko/CORElearn,C++,"['R', 'C', 'Shell', 'C++']",1,0,0,3,2,0,0,0,2951,28967
rWind,https://github.com/jabiologo/rWind,R,['R'],0,1,1,75,4,0,0,6,174,2246
rospca,https://github.com/TReynkens/rospca,R,['R'],1,5,2,79,2,0,0,0,893,1299
waccR,https://github.com/RobertMyles/waccR,R,['R'],0,0,0,10,2,0,0,0,42,195
RankingProject,https://github.com/civilstat/RankingProject,R,['R'],0,1,0,45,1,0,0,0,512,721
bigReg,https://github.com/dataPulverizer/bigReg,R,"['C', 'R', 'C++']",1,0,0,1,1,0,0,0,1585,2303
anchoredDistr,https://github.com/hsavoy/anchoredDistr,R,['R'],1,1,0,16,1,0,0,0,453,777
luxlogr,https://github.com/bpbond/luzlogr,R,['R'],2,5,0,65,1,0,0,0,409,673
epanetReader,https://github.com/bradleyjeck/epanetReader,R,['R'],2,7,5,135,3,0,0,16,2218,8174
MissingDataGUI,https://github.com/chxy/MissingDataGUI,R,['R'],6,5,0,155,3,0,0,0,1230,1456
optimization,https://github.com/kaihusmann/optimization,R,"['R', 'C++']",1,0,0,93,2,0,0,0,430,762
rbi,https://github.com/libbi/RBi,R,['R'],4,9,5,796,7,0,1,1,1982,3522
healthcareai-r,https://github.com/HealthCatalyst/healthcareai-r,HTML,"['R', 'HTML', 'PowerShell']",1,72,45,1655,25,4,18,153,8903,74262
graph-kernels,https://github.com/mahito-sugiyama/graph-kernels,C++,"['C', 'R', 'Makefile', 'C++']",2,22,10,22,2,0,0,1,102,2973
exactLoglinTest,https://github.com/bcaffo/exactLoglinTest,R,"['C', 'R']",5,3,3,9,1,0,0,0,716,2807
PhyInformR,https://github.com/carolinafishes/PhyInformR,R,['R'],1,0,0,10,2,0,0,0,1417,1529
gnm,https://github.com/hturner/gnm,R,"['C', 'R']",0,0,0,534,2,0,0,0,5677,6546
incR,https://github.com/PabloCapilla/incR,R,['R'],1,0,0,84,3,0,0,1,499,946
modelwordcloud,https://github.com/datarobot/modelwordcloud,R,['R'],0,1,0,42,2,0,0,5,435,2586
CRAN_deepboost,https://github.com/dmarcous/CRAN_deepboost,C++,"['C', 'R', 'C++']",1,17,3,109,9,0,0,3,440,2832
prevalence,https://github.com/brechtdv/prevalence,R,['R'],4,1,2,97,2,0,0,0,1712,2050
paleotree,https://github.com/dwbapst/paleotree,R,['R'],5,8,3,534,1,0,0,2,6271,7457
sitar,https://github.com/statist7/sitar,R,['R'],4,2,1,431,2,0,1,0,1469,2012
treespace,https://github.com/thibautjombart/treespace,HTML,"['C++', 'R', 'HTML', 'CSS']",0,3,1,24,3,0,0,0,2824,31253
sparsediscrim,https://github.com/ramhiser/sparsediscrim,R,['R'],7,7,2,258,2,0,0,0,2125,2631
ARCO,https://github.com/gabrielrvsc/ARCO,R,['R'],1,0,3,107,2,0,0,1,414,1108
analysis_tools,https://github.com/paleobiodb/analysis_tools,R,['R'],3,6,4,42,4,0,0,3,485,2270
sperrorest,https://github.com/pat-s/sperrorest,R,['R'],1,6,2,806,2,0,2,19,3011,10268
recexcavAAR,https://github.com/ISAAKiel/recexcavAAR,R,"['C', 'R', 'C++']",1,3,1,135,2,0,0,0,883,1936
plotrr,https://github.com/cdcrabtree/plotrr,R,"['TeX', 'R', 'Rebol']",0,3,2,99,3,0,0,2,70,1168
shopifyr,https://github.com/charliebone/shopifyr,R,['R'],3,5,3,32,1,0,0,0,1059,1620
IndianTaxCalc,https://github.com/iamsulthan/IndianTaxCalc,R,['R'],0,3,0,10,1,0,0,0,326,498
PASWR2,https://github.com/alanarnholt/PASWR2,R,['R'],4,0,2,117,2,0,0,0,1510,13256
SocialMediaLab,https://github.com/vosonlab/SocialMediaLab,R,['R'],2,26,12,168,4,0,1,3,2322,5339
speciesgeocodeR,https://github.com/azizka/speciesgeocodeR,R,['R'],2,2,0,72,2,0,0,0,1917,2120
drLumi,https://github.com/cran/drLumi,R,['R'],2,1,0,1,0,0,0,0,2920,3507
plater,https://github.com/ropenscilabs/plater,R,"['TeX', 'R', 'HTML']",2,11,1,267,3,0,0,2,1384,2832
prcr,https://github.com/jrosen48/prcr,R,['R'],1,0,0,219,1,0,1,1,280,3071
x12GUI,https://github.com/statistikat/x12GUI,R,['R'],4,2,0,49,5,0,0,0,5588,5750
treeclim,https://github.com/cszang/treeclim,R,"['R', 'Makefile', 'C++']",3,2,1,290,3,0,0,0,2321,13083
templates,https://github.com/wahani/templates,R,['R'],1,2,1,23,2,0,0,0,215,586
clinPK,https://github.com/ronkeizer/clinPK,R,['R'],0,2,1,15,1,0,0,0,1863,2131
mockery,https://github.com/n-s-f/mockery,R,['R'],1,21,1,119,5,0,0,12,559,4941
shinyjqui,https://github.com/Yang-Tang/shinyjqui,R,"['R', 'JavaScript']",0,54,14,54,4,0,0,0,806,6609
ldatuning,https://github.com/nikita-moor/ldatuning,R,['R'],2,19,3,39,2,0,0,0,143,967
pifpaf,https://github.com/INSP-RH/pifpaf,HTML,"['R', 'HTML']",1,0,0,501,2,0,0,0,2174,3364
tRophicPosition,https://github.com/clquezada/tRophicPosition,R,['R'],1,6,0,205,3,0,4,80,2776,29483
dicionariosIBGE,https://github.com/arademaker/dicionariosIBGE,R,"['R', 'Perl']",6,9,8,70,4,0,2,0,55,1942
ElastH,https://github.com/Figuera/ElastH,R,['R'],0,0,0,6,2,0,0,0,863,1019
funtimes,https://github.com/vlyubchich/funtimes,R,"['Python', 'R']",1,0,14,52,6,0,2,3,760,3722
lemon,https://github.com/stefanedwards/lemon,R,['R'],0,24,2,109,3,0,0,3,1494,3766
diskImageR,https://github.com/acgerstein/diskImageR,HTML,"['R', 'HTML']",2,1,2,490,3,0,0,1,2991,4090
NIPTeR,https://github.com/molgenis/NIPTeR,R,['R'],2,6,10,14,3,0,0,5,985,3768
QFASA,https://github.com/justinkamerman/QFASA,Jupyter Notebook,"['Jupyter Notebook', 'R', 'Makefile']",1,0,0,43,1,0,0,0,680,1151
WikidataQueryServiceR,https://github.com/bearloga/WikidataQueryServiceR,R,['R'],0,12,0,16,1,0,0,1,128,982
scenario,https://github.com/swd-turner/scenario,R,['R'],1,0,1,8,1,0,0,0,63,262
score-project,https://github.com/JWiley/score-project,R,"['R', 'JavaScript', 'HTML']",2,0,0,45,2,0,0,0,851,1473
normalr,https://github.com/kcha193/normalr,R,['R'],1,2,0,24,1,0,0,0,159,357
TSPred,https://github.com/RebeccaSalles/TSPred,R,['R'],1,0,1,58,1,0,0,0,2384,2688
networktools,https://github.com/paytonjjones/networktools,R,['R'],0,2,1,68,1,0,0,0,1336,1590
logOfGamma,https://github.com/philliplab/logOfGamma,R,['R'],0,0,0,4,1,0,0,0,42,152
MTSYS,https://github.com/okayaa/MTSYS,R,['R'],0,0,0,12,1,0,0,0,638,833
discord,https://github.com/smasongarrison/discord,R,['R'],1,0,0,17,2,0,0,0,445,542
RcouchDB,https://github.com/xrayresearch/RcouchDB,HTML,"['R', 'HTML']",3,1,1,41,4,0,0,2,261,1348
DRR,https://github.com/gdkrmr/DRR,R,['R'],1,1,1,29,1,0,0,0,196,453
rmumps,https://github.com/sgsokol/rmumps,C,"['C', 'Shell', 'CMake', 'Makefile', 'C++', 'Yacc', 'Fortran', 'Objective-C', 'Batchfile', 'Lex', 'R']",2,4,0,72,1,0,0,0,144,205808
sensiPhy,https://github.com/paternogbc/sensiPhy,R,['R'],3,5,4,1375,9,0,6,42,6146,21812
sdef,https://github.com/cran/sdef,R,['R'],3,0,1,7,2,0,0,0,769,978
missRanger,https://github.com/mayer79/missRanger,R,"['R', 'HTML', 'CSS']",1,9,2,38,5,0,0,2,268,1455
neotoma,https://github.com/ropensci/neotoma,R,['R'],4,17,14,754,10,0,6,118,2503,43110
tci,https://github.com/ms609/tci,R,['R'],1,0,0,27,1,0,0,0,60,208
CharFun,https://github.com/Simkova/CharFun,R,['R'],0,0,1,80,4,0,2,1,1530,2706
xesreadR,https://github.com/gertjanssenswillen/xesreadR,R,"['R', 'HTML']",0,1,1,6,2,0,0,0,455,702
shiny.semantic,https://github.com/Appsilon/shiny.semantic,CSS,"['R', 'Shell', 'JavaScript', 'CSS']",1,78,19,131,15,1,4,38,727,111368
pMineR,https://github.com/kbolab/pMineR,R,"['C', 'R', 'C++']",1,2,1,145,1,0,0,0,5227,5654
midasr,https://github.com/mpiktas/midasr,R,['R'],5,21,10,410,4,0,0,9,3080,7418
TransEnt,https://github.com/Healthcast/TransEnt,C++,"['C', 'R', 'Makefile', 'C++']",2,2,2,62,4,0,0,1,17,6890
Thermimage,https://github.com/gtatters/Thermimage,R,"['Perl 6', 'R', 'Shell', 'Perl']",2,9,2,168,3,0,0,0,1299,3462
difNLR,https://github.com/drabinova/difNLR,R,['R'],1,2,1,54,3,0,0,5,1491,3272
Robocoap,https://github.com/viraltux/Robocoap,R,['R'],0,0,0,18,1,0,0,0,68,289
superheat,https://github.com/rlbarter/superheat,R,['R'],2,110,15,136,2,0,0,0,2719,6651
gWidgets2,https://github.com/jverzani/gWidgets2,R,"['PostScript', 'R']",6,20,6,247,6,0,1,7,4586,8157
DSAIDE,https://github.com/ahgroup/DSAIDE,HTML,"['TeX', 'R', 'HTML', 'CSS']",1,3,5,222,5,0,1,14,2139,9640
WitOMI,https://github.com/KarasiewiczStephane/WitOMI,R,"['TeX', 'R']",0,0,1,53,3,0,1,3,575,3289
minerva,https://github.com/rsamantha/minerva,C,"['R', 'C', 'Shell']",4,2,0,65,4,0,0,0,328,1548
pse,https://github.com/andrechalom/pse,R,"['C', 'R']",2,3,0,33,2,0,0,2,585,1464
EloRating,https://github.com/gobbios/EloRating,R,"['R', 'C++']",0,0,0,38,2,0,0,0,1780,2044
meshsimplification,https://github.com/10395803/meshsimplification,C++,"['C', 'Shell', 'CMake', 'Python', 'JavaScript', 'Makefile', 'C++', 'Fortran', 'R', 'Cuda', 'CSS', 'Matlab']",0,1,1,28,2,0,0,1,149,214885
FishResp,https://github.com/cran/FishResp,R,['R'],0,0,0,1,1,0,0,0,4080,4196
assignPOP,https://github.com/alexkychen/assignPOP,R,['R'],1,5,0,161,1,0,0,0,3877,4683
furniture,https://github.com/TysonStanley/furniture,R,['R'],1,4,1,430,1,0,0,0,1357,5899
qualpalr,https://github.com/jolars/qualpalr,R,"['R', 'C++']",1,8,0,308,1,0,0,0,551,8089
patternize,https://github.com/StevenVB12/patternize,R,['R'],1,2,0,134,2,0,0,0,2063,2267
gimms,https://github.com/environmentalinformatics-marburg/gimms,R,['R'],2,8,5,156,2,0,0,0,572,1387
spind,https://github.com/levisc8/spind,R,['R'],0,1,0,351,2,0,0,0,2871,3060
RItools,https://github.com/markmfredrickson/RItools,R,"['R', 'Makefile']",6,10,3,336,12,0,0,2,3139,4387
GSODR,https://github.com/ropensci/GSODR,R,"['TeX', 'R', 'HTML']",2,30,10,1358,6,0,0,3,1124,8897
